coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain
"{'lon': -28.7, 'lat': 38.52}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 63.43, 'feels_like': 58.32, 'temp_min': 63.43, 'temp_max': 63.43, 'pressure': 1030, 'humidity': 68, 'sea_level': 1030, 'grnd_level': 1027}",,"{'speed': 10.58, 'deg': 354}",{'all': 0},1593038431.0,"{'country': 'PT', 'sunrise': 1592980302, 'sunset': 1593033767}",0.0,3372707.0,Ribeira Grande,200,,
"{'lon': -37.64, 'lat': 65.61}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 39.2, 'feels_like': 34.27, 'temp_min': 39.2, 'temp_max': 39.2, 'pressure': 1011, 'humidity': 86}",,"{'speed': 3.36, 'deg': 310}",{'all': 100},1593038489.0,"{'type': 1, 'id': 81, 'country': 'GL', 'sunrise': 1592967648, 'sunset': 1593050713}",-7200.0,3424607.0,Tasiilaq,200,,
"{'lon': -68.51, 'lat': 63.75}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 46.2, 'feels_like': 42.48, 'temp_min': 46, 'temp_max': 46.4, 'pressure': 1012, 'humidity': 75}",48279.0,"{'speed': 2.24, 'deg': 160}",{'all': 90},1593038276.0,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1592979165, 'sunset': 1593054016}",-14400.0,5983720.0,Iqaluit,200,,
"{'lon': -159.32, 'lat': 22.08}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 81.59, 'feels_like': 83.39, 'temp_min': 81, 'temp_max': 82.4, 'pressure': 1017, 'humidity': 65}",16093.0,"{'speed': 9.17, 'deg': 100}",{'all': 1},1593038489.0,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1593014124, 'sunset': 1593062652}",-36000.0,5848280.0,Kapaa,200,,
"{'lon': 147.33, 'lat': -42.88}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 48.76, 'feels_like': 46.13, 'temp_min': 48, 'temp_max': 50, 'pressure': 1013, 'humidity': 93}",10000.0,"{'speed': 3.36, 'deg': 310}",{'all': 40},1593038410.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1593034955, 'sunset': 1593067433}",36000.0,2163355.0,Hobart,200,,{'1h': 0.25}
"{'lon': -91.92, 'lat': 50.1}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 77, 'feels_like': 68.05, 'temp_min': 77, 'temp_max': 77, 'pressure': 1009, 'humidity': 29}",24140.0,"{'speed': 12.75, 'deg': 340}",{'all': 20},1593038489.0,"{'type': 1, 'id': 979, 'country': 'CA', 'sunrise': 1592992732, 'sunset': 1593051688}",-18000.0,6148373.0,Sioux Lookout,200,,
"{'lon': 7.49, 'lat': 6.44}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 73.94, 'feels_like': 80.38, 'temp_min': 73.94, 'temp_max': 73.94, 'pressure': 1013, 'humidity': 95, 'sea_level': 1013, 'grnd_level': 989}",,"{'speed': 4.36, 'deg': 227}",{'all': 100},1593038489.0,"{'country': 'NG', 'sunrise': 1592975857, 'sunset': 1593020839}",3600.0,2343279.0,Enugu,200,,
"{'lon': 170.31, 'lat': 69.7}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 32.32, 'feels_like': 26.19, 'temp_min': 32.32, 'temp_max': 32.32, 'pressure': 1013, 'humidity': 96, 'sea_level': 1013, 'grnd_level': 1008}",,"{'speed': 4.38, 'deg': 330}",{'all': 93},1593038434.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",43200.0,2122090.0,Pevek,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': -40.29, 'lat': -20.33}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 71.28, 'feels_like': 72.25, 'temp_min': 71.01, 'temp_max': 71.6, 'pressure': 1018, 'humidity': 78}",10000.0,"{'speed': 6.93, 'deg': 40}",{'all': 34},1593038191.0,"{'type': 1, 'id': 8474, 'country': 'BR', 'sunrise': 1592990197, 'sunset': 1593029437}",-10800.0,3445026.0,Vila Velha,200,,
